instrument_name,strike,tipo,vencimento,mark_iv,mark_price_btc,underlying_price,best_bid,best_ask,open_interest,volume_24h,delta,gamma,vega,theta
BTC-28AUG26-76500-P,76500.0,PUT,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-77000-C,77000.0,CALL,2026-08-28 08:00:00+00:00,45.75,0.0391,79785.8,0.0365,0.0415,674.8,35.7,0.81272,8e-05,19.21715,-150.17953
BTC-28AUG26-77000-P,77000.0,PUT,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-77500-C,77500.0,CALL,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-77500-P,77500.0,PUT,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-78000-C,78000.0,CALL,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-78000-P,78000.0,PUT,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-78500-C,78500.0,CALL,2026-08-28 08:00:00+00:00,45.53,0.0254,79779.99,0.0235,0.0275,60.3,73.8,0.66168,0.00011,26.12805,-203.22269
BTC-28AUG26-78500-P,78500.0,PUT,2026-08-28 08:00:00+00:00,45.53,0.0094,79785.86,0.0085,0.0095,19.5,19.5,-0.33766,0.00011,26.11008,-203.07343
BTC-28AUG26-79000-C,79000.0,CALL,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-79000-P,79000.0,PUT,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-79500-C,79500.0,CALL,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-79500-P,79500.0,PUT,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-80000-C,80000.0,CALL,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-80000-P,80000.0,PUT,2026-08-28 08:00:00+00:00,46.25,0.018,79779.99,0.017,0.0185,69.6,44.1,-0.51826,0.00012,28.47213,-224.93322
BTC-28AUG26-80500-C,80500.0,CALL,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-80500-P,80500.0,PUT,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-81000-C,81000.0,CALL,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-81000-P,81000.0,PUT,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-81500-C,81500.0,CALL,2026-08-28 08:00:00+00:00,48.07,0.0087,79785.86,0.008,0.009,53.0,53.0,0.31838,0.0001,25.49657,-209.37488
BTC-28AUG26-81500-P,81500.0,PUT,2026-08-28 08:00:00+00:00,48.07,0.0302,79779.99,0.0275,0.032,0.0,0.0,-0.68223,0.0001,25.47415,-209.19288
BTC-28AUG26-82000-C,82000.0,CALL,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-82000-P,82000.0,PUT,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-82500-C,82500.0,CALL,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-82500-P,82500.0,PUT,2026-08-28 08:00:00+00:00,49.35,0.0399,79779.99,0.0365,0.0425,0.0,0.0,-0.76931,9e-05,21.73025,-183.16987
BTC-28AUG26-83000-C,83000.0,CALL,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-83000-P,83000.0,PUT,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-84000-C,84000.0,CALL,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-84000-P,84000.0,PUT,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-85000-C,85000.0,CALL,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-85000-P,85000.0,PUT,2026-08-28 08:00:00+00:00,52.91,0.0675,79779.99,0.0645,0.07,30.7,0.1,-0.90555,4e-05,12.02364,-108.67632
BTC-28AUG26-86000-C,86000.0,CALL,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-86000-P,86000.0,PUT,2026-08-28 08:00:00+00:00,54.36,0.0793,79779.99,0.076,0.0815,0.0,0.0,-0.93546,3e-05,9.00882,-83.65979
BTC-28AUG26-88000-C,88000.0,CALL,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-88000-P,88000.0,PUT,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-90000-C,90000.0,CALL,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-90000-P,90000.0,PUT,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-92000-C,92000.0,CALL,2026-08-28 08:00:00+00:00,64.27,0.0001,79779.99,0.0001,0.0002,629.7,11.9,0.00719,0.0,1.42584,-10.61206
BTC-28AUG26-92000-P,92000.0,PUT,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-94000-C,94000.0,CALL,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-94000-P,94000.0,PUT,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-95000-C,95000.0,CALL,2026-08-28 08:00:00+00:00,68.2,0.0,79779.99,0.0,0.0001,155.6,3.2,0.00234,0.0,0.52194,-3.30752
BTC-28AUG26-95000-P,95000.0,PUT,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-96000-C,96000.0,CALL,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-96000-P,96000.0,PUT,2026-08-28 08:00:00+00:00,71.72,0.2034,79785.86,0.2,0.2065,0.1,0.0,-0.9978,0.0,0.49334,-6.044
BTC-28AUG26-98000-C,98000.0,CALL,2026-08-28 08:00:00+00:00,79.05,0.0,79785.86,0.0,0.0001,226.1,0.3,0.00206,0.0,0.46469,-3.32009
BTC-28AUG26-98000-P,98000.0,PUT,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-100000-C,100000.0,CALL,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-100000-P,100000.0,PUT,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-105000-C,105000.0,CALL,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-105000-P,105000.0,PUT,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-110000-C,110000.0,CALL,2026-08-28 08:00:00+00:00,,,,,,0.0,,,,,
BTC-28AUG26-110000-P,110000.0,PUT,2026-08-28 08:00:00+00:00,90.91,0.3788,79785.86,0.374,0.383,0.2,0.0,-0.99995,0.0,0.01397,-0.2169
